loaded 312 universal m=2 pair-symmetric rules
proxy passers: 144/312 (1s)
passer fixed points: {'6146177461461774': 16, '6174617461746174': 16, '6177461461774614': 16, '1461774614617746': 24, '1466177414661774': 8, '1746174617461746': 24, '1746617417466174': 8, '1774614617746146': 24, '1774661417746614': 8}

=== FULL d=16 basins for passers ===
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61461774 partition=[[0, 3], [1, 4], [5, 6], [2, 7]] -> F16=6146177461461774: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61746174 partition=[[0, 4], [1, 5], [2, 6], [3, 7]] -> F16=6174617461746174: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (10s)
  base F=61774614 partition=[[0, 5], [1, 6], [2, 3], [4, 7]] -> F16=6177461461774614: 2042965/2042965 UNIVERSAL (11s)
